Date,Open,High,Low,Close,Adj Close,Volume
2019-03-11,151.399994,151.699997,150.199997,150.399994,111.643333,78620
2019-03-12,150.500000,151.199997,148.100006,148.800003,110.455643,164302
2019-03-13,149.000000,150.600006,148.800003,150.000000,111.346405,169525
2019-03-14,150.000000,150.500000,147.899994,148.300003,110.084473,98925
2019-03-15,148.199997,150.100006,147.000000,148.000000,109.861786,202120
2019-03-18,147.600006,149.199997,147.500000,148.699997,110.381386,113986
2019-03-19,149.699997,153.699997,147.800003,153.199997,113.721786,120027
2019-03-20,152.800003,152.800003,148.500000,149.300003,110.826790,109662
2019-03-21,149.000000,150.300003,147.199997,147.600006,109.564865,74897
2019-03-22,147.899994,148.500000,143.800003,144.000000,106.892540,81565
2019-03-25,143.100006,144.899994,142.500000,144.100006,106.966782,48782
2019-03-26,144.199997,144.399994,142.199997,143.000000,106.150230,91550
2019-03-27,143.800003,144.800003,142.399994,143.000000,106.150230,54491
2019-03-28,143.300003,144.100006,142.800003,143.500000,106.521393,75650
2019-03-29,144.100006,145.500000,143.800003,145.100006,107.709099,74352
2019-04-01,146.550003,149.300003,146.449997,148.449997,110.195831,98244
2019-04-02,148.000000,150.649994,147.550003,150.449997,111.680443,75605
2019-04-03,151.300003,154.300003,151.000000,152.500000,113.202179,85627
2019-04-04,152.000000,155.300003,151.550003,154.550003,114.723930,88017
2019-04-05,154.750000,155.199997,153.000000,153.050003,113.610458,73977
2019-04-08,151.500000,154.350006,151.500000,154.350006,114.575462,55935
2019-04-09,154.149994,155.649994,151.300003,152.250000,113.016602,76803
2019-04-10,152.000000,152.699997,151.100006,152.100006,112.905251,37810
2019-04-11,152.449997,154.949997,151.449997,154.600006,114.761032,67271
2019-04-12,154.050003,157.949997,153.050003,156.500000,116.171417,93306
2019-04-15,156.600006,158.500000,156.100006,158.500000,117.656029,74187
2019-04-16,158.000000,160.600006,157.550003,160.149994,118.880844,74886
2019-04-17,160.949997,165.600006,160.850006,165.149994,122.592400,137579
2019-04-18,164.000000,166.850006,162.699997,166.600006,123.668747,118976
2019-04-23,165.399994,167.399994,163.600006,164.399994,122.035667,81175
2019-04-24,163.149994,163.800003,160.500000,162.350006,120.513924,93073
2019-04-25,162.500000,162.500000,159.149994,159.600006,118.472580,61362
2019-04-26,160.100006,160.699997,159.100006,159.949997,118.732384,44867
2019-04-29,160.500000,161.949997,159.649994,160.800003,119.363350,43815
2019-04-30,159.850006,160.449997,158.449997,159.399994,118.324120,55486
2019-05-02,162.500000,166.699997,162.449997,164.300003,121.961441,139557
2019-05-03,165.000000,165.750000,163.199997,163.500000,121.367592,50023
2019-05-06,158.500000,160.500000,156.100006,160.399994,119.066422,84648
2019-05-07,160.899994,161.899994,155.350006,156.500000,116.171417,86733
2019-05-08,156.050003,157.800003,154.949997,156.949997,116.505447,78289
2019-05-09,156.500000,156.500000,153.149994,155.050003,115.095070,103135
2019-05-10,156.500000,157.199997,151.250000,151.250000,112.274284,166957
2019-05-13,151.850006,151.850006,147.600006,149.350006,110.863907,148908
2019-05-14,152.850006,152.949997,149.600006,150.600006,111.791794,109237
2019-05-15,148.000000,153.850006,145.000000,151.199997,115.932228,138232
2019-05-16,151.300003,151.649994,148.850006,149.300003,114.475410,115776
2019-05-17,149.250000,150.500000,147.699997,149.800003,114.858788,103191
2019-05-20,148.899994,149.149994,145.399994,146.750000,112.520187,66029
2019-05-21,147.850006,148.649994,145.550003,146.949997,112.673546,76177
2019-05-22,146.550003,147.199997,144.750000,146.149994,112.060143,64338
2019-05-23,145.000000,145.000000,142.100006,142.600006,109.338196,109012
2019-05-24,145.000000,147.149994,144.149994,144.350006,110.680008,109123
2019-05-27,147.649994,147.899994,144.550003,145.399994,111.485085,42773
2019-05-28,145.649994,148.550003,145.300003,147.100006,112.788559,100208
2019-05-29,145.649994,146.000000,144.550003,145.449997,111.523430,55744
2019-05-30,145.250000,146.550003,144.300003,144.649994,110.910019,28019
2019-05-31,142.000000,142.500000,139.899994,142.100006,108.954834,126953
2019-06-03,141.149994,142.750000,140.750000,142.449997,109.223183,64560
2019-06-04,142.000000,147.850006,141.750000,147.600006,113.171936,87635
2019-06-05,148.149994,148.199997,144.850006,145.449997,111.523430,52306
2019-06-06,144.649994,147.500000,143.800003,145.050003,111.216728,47730
2019-06-07,145.050003,146.000000,144.449997,145.100006,111.255074,42212
2019-06-11,147.000000,148.399994,146.899994,147.050003,112.750229,71044
2019-06-12,146.750000,146.750000,144.750000,145.800003,111.791786,50828
2019-06-13,145.350006,146.899994,143.899994,145.899994,111.868462,54046
2019-06-14,145.000000,145.550003,143.449997,144.100006,110.488319,50439
2019-06-17,144.350006,145.750000,144.000000,145.000000,111.178391,61346
2019-06-18,144.899994,148.750000,143.449997,147.649994,113.210281,64854
2019-06-19,147.649994,149.800003,147.050003,149.750000,114.820442,66435
2019-06-20,149.750000,152.750000,149.750000,150.899994,115.702194,55761
2019-06-21,150.449997,152.149994,150.100006,150.500000,115.395493,66350
2019-06-24,149.350006,150.149994,148.500000,149.750000,114.820442,39702
2019-06-25,148.000000,150.000000,147.850006,147.850006,113.363625,72751
2019-06-26,146.750000,150.149994,146.500000,149.750000,114.820442,64002
2019-06-27,150.100006,152.300003,149.649994,150.100006,115.088806,76532
2019-06-28,150.000000,151.199997,149.250000,151.149994,115.893883,79868
2019-07-01,152.899994,154.500000,151.300003,152.350006,116.814003,58307
2019-07-02,152.100006,153.600006,151.449997,153.199997,117.465714,50264
2019-07-03,153.000000,156.500000,152.149994,156.199997,119.765961,80082
2019-07-04,156.050003,158.300003,155.850006,157.750000,120.954422,65562
2019-07-05,157.600006,158.050003,156.449997,156.899994,120.302689,55833
2019-07-08,156.000000,158.850006,156.000000,157.050003,120.417702,46305
2019-07-09,156.199997,156.399994,154.250000,156.000000,119.612625,72717
2019-07-10,155.199997,157.449997,154.100006,154.399994,118.385818,74994
2019-07-11,154.300003,155.850006,153.100006,154.350006,118.347496,96586
2019-07-12,152.050003,157.050003,151.699997,155.300003,119.075905,97488
2019-07-15,155.399994,157.500000,155.399994,156.949997,120.341019,56888
2019-07-16,156.850006,157.550003,155.750000,157.500000,120.762749,52826
2019-07-17,156.800003,157.699997,154.899994,155.149994,118.960884,36341
2019-07-18,154.100006,155.149994,152.899994,152.899994,117.235703,78899
2019-07-19,153.100006,154.750000,152.699997,153.449997,117.657410,84680
2019-07-22,153.000000,155.050003,152.500000,154.449997,118.424164,55296
2019-07-23,154.600006,160.750000,154.600006,159.949997,122.641266,136792
2019-07-24,159.699997,162.500000,159.100006,161.350006,123.714722,61897
2019-07-25,162.100006,164.300003,156.699997,158.199997,121.299469,116456
2019-07-26,158.500000,159.850006,157.350006,158.699997,121.682831,58184
2019-07-29,158.449997,158.449997,155.949997,157.699997,120.916092,50895
2019-07-30,157.899994,157.899994,154.250000,155.899994,119.535934,57834
2019-07-31,155.100006,157.250000,154.699997,154.699997,118.615852,48893
2019-08-01,154.500000,155.600006,153.550003,154.750000,118.654182,41666
2019-08-02,151.449997,152.000000,148.199997,150.899994,115.702194,89401
2019-08-05,149.000000,149.500000,145.699997,147.350006,112.980247,55466
2019-08-06,148.100006,149.300003,146.699997,146.949997,112.673546,67840
2019-08-07,147.550003,149.699997,146.050003,147.300003,112.941910,78303
2019-08-08,149.800003,149.800003,147.550003,148.649994,113.977020,46534
2019-08-09,147.949997,148.500000,145.199997,145.649994,111.676773,56063
2019-08-12,146.600006,146.949997,144.899994,145.500000,111.561775,52883
2019-08-13,145.000000,149.250000,143.649994,146.899994,112.635201,64118
2019-08-14,147.000000,147.000000,142.750000,143.850006,110.296638,48169
2019-08-15,144.550003,144.750000,140.750000,142.750000,109.453217,89348
2019-08-16,142.500000,143.899994,142.500000,143.500000,110.028267,42741
2019-08-19,144.899994,146.800003,144.649994,146.300003,112.175156,44561
2019-08-20,146.300003,146.649994,144.300003,144.449997,110.756676,38899
2019-08-21,144.600006,147.399994,144.300003,146.199997,112.098488,39922
2019-08-22,145.699997,147.550003,145.100006,145.449997,111.523430,74927
2019-08-23,145.699997,147.000000,143.750000,144.100006,110.488319,46354
2019-08-26,143.800003,145.000000,142.399994,144.000000,110.411636,60718
2019-08-27,144.500000,147.100006,143.649994,146.149994,112.060143,54641
2019-08-28,145.800003,146.199997,144.149994,145.449997,111.523430,55208
2019-08-29,145.449997,148.050003,144.649994,147.100006,112.788559,64701
2019-08-30,147.100006,150.149994,147.100006,148.449997,113.823677,64469
2019-09-02,148.550003,149.300003,147.699997,148.949997,114.207039,30375
2019-09-03,148.500000,149.449997,147.899994,148.800003,114.092041,46640
2019-09-04,150.100006,151.949997,150.050003,150.899994,115.702194,48406
2019-09-05,152.000000,154.800003,151.500000,153.750000,117.887444,58386
2019-09-06,153.300003,155.050003,151.649994,153.250000,117.504051,45813
2019-09-09,153.199997,156.600006,153.000000,156.500000,119.995995,52520
2019-09-10,155.449997,158.949997,155.449997,158.300003,121.376152,112024
2019-09-11,159.300003,161.000000,157.600006,158.750000,121.721176,60056
2019-09-12,158.500000,161.100006,157.699997,160.149994,122.794617,81655
2019-09-13,159.899994,162.449997,159.800003,161.350006,123.714722,65197
2019-09-16,160.000000,161.750000,159.750000,161.050003,123.484703,41421
2019-09-17,160.449997,160.600006,158.050003,159.699997,122.449585,55459
2019-09-18,159.550003,160.500000,158.649994,159.899994,122.602928,32310
2019-09-19,159.899994,161.699997,159.350006,161.449997,123.791397,57310
2019-09-20,161.000000,162.500000,161.000000,161.800003,124.059761,170084
2019-09-23,160.800003,161.300003,157.949997,159.199997,122.066208,47596
2019-09-24,158.850006,159.899994,154.399994,155.500000,119.229248,110645
2019-09-25,154.500000,155.649994,153.250000,155.000000,118.845871,57554
2019-09-26,155.050003,157.100006,154.899994,155.600006,119.305931,53277
2019-09-27,155.850006,157.250000,155.850006,156.850006,120.264366,35121
2019-09-30,156.000000,157.800003,155.199997,157.699997,120.916092,57990
2019-10-01,157.750000,159.300003,154.550003,155.149994,118.960884,73168
2019-10-02,154.149994,154.850006,150.550003,150.550003,115.433838,76529
2019-10-04,150.250000,150.500000,147.500000,148.449997,113.823677,107998
2019-10-07,148.100006,149.350006,147.000000,149.050003,114.283722,42609
2019-10-08,149.649994,150.550003,147.800003,149.500000,114.628754,71203
2019-10-09,149.199997,151.500000,148.550003,150.100006,115.088806,64533
2019-10-10,151.600006,154.550003,151.149994,153.800003,117.925774,65174
2019-10-11,154.800003,161.000000,152.899994,161.000000,123.446358,113729
2019-10-14,160.199997,162.550003,158.949997,162.350006,124.481461,95904
2019-10-15,163.500000,165.000000,162.350006,164.100006,125.823280,100322
2019-10-16,163.649994,168.350006,163.399994,167.750000,128.621902,170361
2019-10-17,167.199997,170.750000,166.899994,169.500000,129.963715,129748
2019-10-18,165.100006,169.050003,163.149994,167.850006,128.698578,99680
2019-10-21,167.899994,170.100006,167.500000,169.250000,129.772018,54460
2019-10-22,169.649994,170.399994,168.899994,169.800003,130.193741,45974
2019-10-23,168.350006,170.250000,167.350006,170.050003,130.385422,40309
2019-10-24,169.949997,172.449997,169.899994,172.000000,131.880569,73583
2019-10-25,171.800003,172.800003,170.149994,170.800003,130.960480,67226
2019-10-28,171.100006,174.149994,170.949997,173.500000,133.030685,62918
2019-10-29,173.100006,173.750000,171.800003,172.199997,132.033920,69295
2019-10-30,175.500000,176.350006,171.649994,173.199997,132.800659,102397
2019-10-31,172.550003,172.699997,168.699997,169.899994,130.270401,98973
2019-11-01,170.899994,172.800003,170.649994,172.550003,132.302277,65009
2019-11-04,174.500000,177.550003,174.000000,177.350006,135.982666,122393
2019-11-05,177.350006,178.550003,176.050003,178.449997,136.826080,82197
2019-11-06,178.000000,179.149994,177.149994,178.050003,136.519394,65188
2019-11-07,178.649994,182.500000,178.649994,182.500000,139.931427,105362
2019-11-08,182.000000,182.050003,179.649994,180.850006,138.666290,73240
2019-11-11,180.000000,181.149994,177.250000,181.000000,138.781296,64021
2019-11-12,181.449997,182.250000,180.149994,181.850006,139.433044,57737
2019-11-13,180.100006,180.550003,177.800003,179.800003,137.861206,50570
2019-11-14,179.399994,179.949997,178.050003,179.350006,137.516159,54554
2019-11-15,180.000000,181.750000,179.750000,181.750000,139.356354,56606
2019-11-18,181.600006,181.850006,173.949997,175.750000,134.755875,132881
2019-11-19,175.600006,179.250000,175.149994,177.449997,136.059326,86272
2019-11-20,177.250000,177.250000,175.199997,175.750000,134.755875,99140
2019-11-21,174.850006,177.199997,174.000000,177.100006,135.790985,93229
2019-11-22,176.800003,178.350006,176.000000,176.600006,135.407623,59837
2019-11-25,177.899994,178.949997,176.399994,176.449997,135.292587,40201
2019-11-26,176.850006,177.199997,175.149994,175.250000,134.372498,62842
2019-11-27,176.000000,177.500000,174.949997,176.149994,135.062561,62997
2019-11-28,175.699997,176.199997,174.300003,174.500000,133.797440,32655
2019-11-29,173.899994,174.899994,173.149994,173.149994,132.762314,47586
2019-12-02,174.000000,176.149994,172.500000,172.500000,132.263931,71675
2019-12-03,173.050003,175.100006,170.600006,173.000000,132.647324,102680
2019-12-04,173.550003,175.300003,172.850006,173.199997,132.800659,59836
2019-12-05,173.750000,175.449997,172.850006,174.449997,133.759094,92519
2019-12-06,175.000000,176.199997,173.850006,176.199997,135.100906,59281
2019-12-09,176.250000,177.550003,174.699997,174.899994,134.104141,61563
2019-12-10,174.500000,175.399994,171.949997,175.000000,134.180817,74403
2019-12-11,174.699997,177.449997,174.100006,177.350006,135.982666,86142
2019-12-12,177.399994,178.649994,175.550003,177.800003,136.327698,77966
2019-12-13,181.000000,185.000000,180.100006,180.699997,138.551270,156933
2019-12-16,181.000000,181.000000,177.800003,179.399994,137.554489,55776
2019-12-17,179.699997,179.699997,177.300003,177.800003,136.327698,62682
2019-12-18,177.100006,177.899994,176.699997,177.399994,136.020981,62845
